case,method,T_star,J_star,total_time,t_linearize,t_select,t_backward,t_forward,n_iterations,consistency_max_abs,consistency_rmse
DoubleIntegrator,propagator,25,6.544382184867515,0.04089020658284426,0.004238415975123644,0.029876166838221252,0.0048555409302935,0.001920082839205861,3,0.00042936472599564013,0.0001097807670144956
DoubleIntegrator,onepass,25,6.544382183333302,0.02524358208756894,0.006888791918754578,0.008846457116305828,0.0022929999977350235,0.0072153330547735095,5,0.0004218758579739301,0.00010486060634295162
DoubleIntegrator,bruteforce,25,6.544382184867515,0.4497989179799333,0.003814041963778436,0.44098100101109594,0.0037995000602677464,0.0012043749447911978,3,0.00042936472599564013,0.0001097807670144956
Segway_Balance,propagator,200,12356.132316715915,0.34737166459672153,0.057614542078226805,0.21148299879860133,0.05613408284261823,0.02214004087727517,9,1.7312225535715697,1.6326531091042003
Segway_Balance,onepass,114,56234.55239828488,0.3524381633615121,0.09364279208239168,0.07216070813592523,0.006463750032708049,0.18017091311048716,6,862.3893919121765,346.28633593663193
Segway_Balance,bruteforce,200,12356.132316715915,8.524830792914145,0.0580483318772167,8.388220333028585,0.05608829308766872,0.022473834920674562,9,1.7312225535715697,1.6326531091042003
Ballbot_Balance,propagator,200,2599.592019377,0.32948566833510995,0.0754355009412393,0.17117254226468503,0.061331457109190524,0.021546168019995093,7,9.732960857567832,5.227101000336937
Ballbot_Balance,onepass,155,5247.862625299612,0.23720420815516263,0.09695270808879286,0.05454858299344778,0.0071087919641286135,0.07859412510879338,8,109.93270447561918,28.519220522083618
Ballbot_Balance,bruteforce,200,2599.592019377,6.667409710935317,0.07555141800548881,6.5090764159103855,0.061212917091324925,0.021568959928117692,7,9.732960857567832,5.227101000336937
Quadrotor_Hover,propagator,51,449.1438881199965,2.53620499803219,2.147200832958333,0.27950729080475867,0.027610458084382117,0.08188641618471593,9,0.07873802357403292,0.012309084825136757
Quadrotor_Hover,onepass,99,449.35272965571517,2.9506865403382108,2.508707497967407,0.0538437512004748,0.005899875075556338,0.3822354160947725,10,0.08638783084961688,0.012641295687111042
Quadrotor_Hover,bruteforce,51,449.1438881199965,8.26782845822163,2.1359465001150966,6.022684001130983,0.027496998896822333,0.08170095807872713,9,0.07873802357403292,0.012309084825136757
